,0
0,37.749770731958776
1,24.785488642048062
2,11.223451316696975
3,14.20912010209592
4,2.21483070353661
5,1.6080366960535333
6,0.5923568445598965
7,0.37567424816073874
8,0.19041828331859026
9,0.06500702688588268
10,0.035527505567711344
11,0.01217473288798744
12,0.005472208468292315
13,0.00206910235590053
14,0.0007861392610554473
